silhouette,davies_bouldin,calinski_harabasz,coverage,min_segment_share,future_revenue_eta2,future_active_eta2,stability_ari,n_segments,model,feature_set,config,eligible
0.3533118822803468,1.0332437979753386,2532.8521882519103,1.0,0.16639477977161501,0.18609503034642236,0.1464929515305138,0.9992206532941443,3,kmeans,core_rfm,k=3,True
0.2838667349215674,1.141030434227831,1988.297671205874,1.0,0.2300163132137031,0.13758162716889108,0.11474670773783331,0.9991151789020731,3,gmm,core_rfm,k=3,True
0.328008350702705,1.1053945756990087,2210.455891623825,1.0,0.14714518760195758,0.184863994246771,0.1425717943237275,1.0,3,agglomerative,core_rfm,k=3,True
0.3745907680635189,0.9409890215552668,2427.8783300246555,1.0,0.1432300163132137,0.19346693221651448,0.15074917733396057,0.9964745581932258,4,kmeans,core_rfm,k=4,True
0.18412740859594606,1.6383515909590507,1482.3923379398436,1.0,0.19380097879282218,0.1632012335432883,0.13746456926233666,0.9989660157338678,4,gmm,core_rfm,k=4,True
0.32003573475929087,1.0326558810572775,2031.952806185449,1.0,0.14714518760195758,0.18640626715460903,0.14347401538813204,1.0,4,agglomerative,core_rfm,k=4,True
0.32856830916877494,0.9843047915964325,2247.774893318967,1.0,0.0766721044045677,0.21225595178504097,0.16229793469198606,0.9783097244384695,5,kmeans,core_rfm,k=5,True
0.2133636453009493,1.241033065006284,1524.9787811506783,1.0,0.066557911908646,0.17849712565874307,0.1419502156935645,0.9193060808477831,5,gmm,core_rfm,k=5,True
0.26396428189290466,1.1487383823580009,1822.0235346849386,1.0,0.10897226753670473,0.18934155993893212,0.14556069645836633,1.0,5,agglomerative,core_rfm,k=5,True
0.28035492369366943,1.0709904466752638,2104.4404950568587,1.0,0.04763458401305057,0.21015948898177633,0.1589336251198162,0.8187351001300486,6,kmeans,core_rfm,k=6,False
0.1514868969839234,2.0598973783351795,1088.2987267805797,1.0,0.03947797716150082,0.1859623808143979,0.14591373849404793,0.8764536447891665,6,gmm,core_rfm,k=6,False
0.2554100338792651,1.1504200831747207,1743.0783516663985,1.0,0.04828711256117455,0.1985034767655646,0.14836089884830211,1.0,6,agglomerative,core_rfm,k=6,False
0.16993288276727855,1.5447927000559183,1039.3645419787965,0.8261011419249592,0.005529225908372828,0.13589245923548043,0.12083172914517634,1.0,5,dbscan,core_rfm,"eps=0.35,min=20",False
0.3368265937508815,1.0050205009808126,1961.1098670207796,0.9376835236541599,0.3959638135003479,0.09625612285537206,0.08693234740997247,1.0,2,dbscan,core_rfm,"eps=0.5,min=20",False
0.2524873472525389,1.2453247516881814,1494.1482824818638,1.0,0.26133768352365416,0.16390568260514643,0.12480582043157906,0.995014725521566,3,kmeans,behavioral,k=3,True
0.12321684105980835,2.1071539313606076,786.6431564397002,1.0,0.2929853181076672,0.15897004962434721,0.13336694711050717,1.0,3,gmm,behavioral,k=3,True
0.21042282556923397,1.366417106862521,1082.2256118676182,1.0,0.09951060358890701,0.1642906631044202,0.12501750409535634,1.0,3,agglomerative,behavioral,k=3,True
0.2302545717725023,1.363199298928907,1260.3548568121448,1.0,0.2,0.1805970721696261,0.13544125845260335,0.989026136352926,4,kmeans,behavioral,k=4,True
0.07352341306030497,2.596845147791581,599.2474783344384,1.0,0.15889070146818923,0.17623558746716506,0.14412112146229178,0.8034137897832792,4,gmm,behavioral,k=4,True
0.18521310470801988,1.3267471902975805,987.5019508354528,1.0,0.06394779771615008,0.16667968845061576,0.12716796696208585,1.0,4,agglomerative,behavioral,k=4,True
0.22402842983725516,1.2854779856097183,1183.8931846278597,1.0,0.12887438825448613,0.19220029299996222,0.14632509316715803,0.985532350382041,5,kmeans,behavioral,k=5,True
0.07233836113418085,2.5140965683906007,472.27937510661616,1.0,0.018597063621533443,0.17648016003359648,0.14398076645081057,0.9998577919493786,5,gmm,behavioral,k=5,False
0.18128333879368036,1.4862667701082701,948.7248034495624,1.0,0.06394779771615008,0.17746132606679965,0.13157167096894773,1.0,5,agglomerative,behavioral,k=5,True
0.2098822628593197,1.3030816877632878,1085.3624625822388,1.0,0.04926590538336052,0.19477807857773816,0.14833366168338985,0.9838411540637153,6,kmeans,behavioral,k=6,False
0.06481227941399818,2.2195745776664375,385.2986189989688,1.0,0.0013050570962479609,0.17914593561389736,0.14419203744484516,0.7746604616214274,6,gmm,behavioral,k=6,False
0.14189574389638365,1.542670567210019,867.1598125674798,1.0,0.06394779771615008,0.17771775247960048,0.13158718115723533,1.0,6,agglomerative,behavioral,k=6,True
0.1523884360737236,1.4027911927880905,145.19290010284794,0.2401305057096248,0.03804347826086957,0.07742279311032073,0.0709142620089577,1.0,4,dbscan,behavioral,"eps=0.5,min=20",False
0.20110346497701967,1.1507787911313718,531.2102445193541,0.6048939641109299,0.008629989212513484,0.10233864516355605,0.09293419183681928,1.0,3,dbscan,behavioral,"eps=0.65,min=20",False
0.2591678707305389,1.357002870640736,1073.7272725676985,0.799347471451876,0.3979591836734694,0.09667710799280985,0.08765578846395776,1.0,2,dbscan,behavioral,"eps=0.8,min=20",False
